


2022-08-18 17:01:34 [SYSTEM] Core Program Start
2022-08-18 17:01:34 [ROBOT] ERROR : DISCONNECTED
2022-08-18 17:01:34 [CUP] ERROR : Disconnected 1
2022-08-18 17:01:34 [CUP] ERROR : Disconnected 2
2022-08-18 17:01:34 [ICE] ERROR : DISCONNECTED 1
2022-08-18 17:01:34 [BARCODE] UNKNOWN BARCODE READ : 
2022-08-18 17:01:34 [SYSTEM] PLATFORM PHYSICALLY OPENED NOW
2022-08-18 17:01:35 [USER INPUT] UI : UNLOCK
2022-08-18 17:01:36 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:36 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:38 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:38 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:38 [USER INPUT] INIT START
2022-08-18 17:01:38 [INIT PROCESS] Platform Initialization Start
2022-08-18 17:01:40 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:40 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:42 [NOTICE] SHOW INIT NOTICE : CON_R1
2022-08-18 17:01:42 [INIT PROCESS] FAIL -- Device Connection Check Error
2022-08-18 17:01:43 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:43 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:45 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:45 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:47 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:47 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:49 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:49 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:52 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:52 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:54 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:54 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:56 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:56 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:01:58 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:01:58 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:00 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:01 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:03 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:03 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:05 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:05 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:07 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:07 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:09 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:09 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:12 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:12 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:14 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:14 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:16 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:16 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:18 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:18 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:21 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:21 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:23 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:23 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:25 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:25 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:27 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:27 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:29 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:30 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:32 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:32 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:34 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:34 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:36 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:36 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:38 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:39 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:41 [ICE] SERIAL ttyS6 OPEN FAIL
